group_id,group_title,step_no,base_en,base_ja,instruction,answer_en
A1_U10,Add information with prepositional phrases,1,We meet.,会います。,Add the place at the office.,We meet at the office.
A1_U10,Add information with prepositional phrases,2,We meet at the office.,オフィスで会います。,Change the subject to they.,They meet at the office.
A1_U10,Add information with prepositional phrases,3,They meet at the office.,彼らはオフィスで会います。,Add the time on Monday.,They meet at the office on Monday.
A1_U10,Add information with prepositional phrases,4,They meet at the office on Monday.,彼らは月曜にオフィスで会います。,Change the verb to work.,They work at the office on Monday.
A1_U10,Add information with prepositional phrases,5,They work at the office on Monday.,彼らは月曜にオフィスで働きます。,Add the purpose for a project.,They work at the office on Monday for a project.
A1_U10,Add information with prepositional phrases,6,They work at the office on Monday for a project.,彼らはプロジェクトのため月曜にオフィスで働きます。,Change the subject to we.,We work at the office on Monday for a project.
A1_U11,Turn statements into requests,1,You send the file.,ファイルを送ります。,Make it a request.,Can you send the file?
A1_U11,Turn statements into requests,2,Can you send the file?,ファイルを送ってもらえますか？,Change the object to the document.,Can you send the document?
A1_U11,Turn statements into requests,3,Can you send the document?,ドキュメントを送ってもらえますか？,Add the time today.,Can you send the document today?
A1_U11,Turn statements into requests,4,Can you send the document today?,今日ドキュメントを送ってもらえますか？,Change the subject to we.,Can we send the document today?
A1_U11,Turn statements into requests,5,Can we send the document today?,今日ドキュメントを送れますか？,Change the verb to review.,Can we review the document today?
A1_U12,Rephrase sentences smoothly,1,We finish the task.,タスクを完了します。,Make it negative.,We do not finish the task.
A1_U12,Rephrase sentences smoothly,2,We do not finish the task.,タスクを完了しません。,Make it a question.,Do we finish the task?
A1_U12,Rephrase sentences smoothly,3,Do we finish the task?,タスクを完了しますか？,Answer briefly.,Yes, we do.
A1_U12,Rephrase sentences smoothly,4,Yes, we do.,はい、完了します。,Change the subject to he.,Yes, he does.
A1_U12,Rephrase sentences smoothly,5,Yes, he does.,はい、彼は完了します。,Make it negative.,He does not finish the task.
A1_U12,Rephrase sentences smoothly,6,He does not finish the task.,彼はタスクを完了しません。,Make it a question.,Does he finish the task?
A1_U12,Rephrase sentences smoothly,7,Does he finish the task?,彼はタスクを完了しますか？,Answer briefly.,No, he does not.
A2_U13,Ask for clarification and confirmation,1,I did not catch that.,聞き取れませんでした。,Ask politely.,Sorry?
A2_U13,Ask for clarification and confirmation,2,Sorry?,すみません？,Ask to repeat.,Could you say that again?
A2_U13,Ask for clarification and confirmation,3,Could you say that again?,もう一度言ってもらえますか？,Ask to speak slowly.,Could you say that more slowly?
A2_U13,Ask for clarification and confirmation,4,Could you say that more slowly?,もう少しゆっくり言ってもらえますか？,Ask for meaning.,What do you mean?
A2_U13,Ask for clarification and confirmation,5,What do you mean?,どういう意味ですか？,Confirm understanding.,Do you mean the schedule?
A2_U13,Ask for clarification and confirmation,6,Do you mean the schedule?,スケジュールのことですか？,Answer briefly.,Yes, that’s right.
A2_U14,Add softening and uncertainty,1,This is correct.,これは正しいです。,Soften the statement.,I think this is correct.
A2_U14,Add softening and uncertainty,2,I think this is correct.,正しいと思います。,Add uncertainty.,I think this is probably correct.
A2_U14,Add softening and uncertainty,3,I think this is probably correct.,おそらく正しいと思います。,Change the subject to we.,We think this is probably correct.
A2_U14,Add softening and uncertainty,4,We think this is probably correct.,私たちはおそらく正しいと思います。,Add a hesitation phrase.,We’re not sure, but we think this is correct.
A2_U14,Add softening and uncertainty,5,We’re not sure, but we think this is correct.,確信はありませんが正しいと思います。,Change the object to the plan.,We’re not sure, but we think the plan is correct.
A2_U14,Add softening and uncertainty,6,We’re not sure, but we think the plan is correct.,計画は正しいと思います。,Shorten naturally.,I’m not sure, but the plan looks correct.
A2_U15,Pass the conversation back,1,I think this works.,これはうまくいくと思います。,Ask for the other person’s opinion.,How about you?
A2_U15,Pass the conversation back,2,How about you?,あなたはどうですか？,Ask directly.,What do you think?
A2_U15,Pass the conversation back,3,What do you think?,どう思いますか？,Ask for agreement.,Is that OK?
A2_U15,Pass the conversation back,4,Is that OK?,それで大丈夫ですか？,Change the subject to we.,Are we OK with that?
A2_U15,Pass the conversation back,5,Are we OK with that?,それで問題ないですか？,Close politely.,Does that work for you?

